comity, state of being, positive,170
deleterious, state of being, negative,200
erudite, state of being, positive,200
fecund, state of being, positive,200
felicitous, state of being, positive,160
mordant, state of being, negative,200
exculpate, an act, positive,200
myopic, state of being, negative,200
portend, an act, negative,160
provincial, state of being, negative,200
salutary, state of being, positive,200
somnolent, state of being, neutral,110
churlish, state of being, negative,200
fractious, state of being, negative,200
limpid, state of being, positive,200
mawkish, state of being, negative,200
obeisance, an act, neutral,80
perfunctory, state of being, negative,200
perilous, state of being, negative,200
predilection, state of being, positive,200
