abstruse, state of being, negative,90
dilettante, state of being, negative,100
effrontery, state of being, negative,100
endow, state of being, positive,100
entreat, state of being, positive,100
gregarious, state of being, positive,100
indictment, state of being, negative,100
ineluctable, state of being, negative,100
levity, state of being, positive,100
malevolent, state of being, negative,110
patronize, state of being, negative,100
penurious, state of being, negative,100
piquant, state of being, positive,100
remote, state of being, neutral,100
reprobate, state of being, negative,110
turbid, state of being, negative,100
turgid, state of being, negative,110
vacuous, state of being, negative,110
