rapacious, state of being, negative,200
truculent, state of being, negative,130
laconic, state of being, neutral,100
opprobrium, state of being, negative,120
parsimonious, state of being, negative,80
tempestuous, state of being, negative,200
tenable, state of being, neutral,100
urbane, state of being, positive,160
verisimilitude, state of being, neutral,90
vitiate, an act, negative,200
baroque, state of being, neutral,100
byzantine, state of being, negative,200
invidious, state of being, negative,150
numinous, state of being, positive,170
pellucid, state of being, positive,180
adroit, state of being, positive,180
animus, state of being, negative,200
inborn, state of being, neutral,100
polymath, state of being, positive,200
torpor, state of being, negative,200
