trenchant, state of being, positive,70
apropos, state of being, neutral,100
virulent, state of being, negative,130
antedate, an act, neutral,100
elucidate, an act, positive,160
synoptic, state of being, neutral,90
vociferous, state of being, negative,170
inveterate, state of being, negative,60
pithy, state of being, positive,130
upbraid, an act, negative,170
acquisitive, state of being, negative,140
blithe, state of being, positive,80
efficacious, state of being, positive,80
prolix, an act, negative,120
veritable, state of being, positive,140
discomfit, an act, negative,150
ebullient, state of being, positive,180
florid, state of being, negative,130
facetious, state of being, neutral,100
inveigle, an act, negative,150
