mendacity, state of being, negative,80
munificent, state of being, positive,200
parochial, state of being, negative,140
prevaricate, an act, negative,80
recrudescent, state of being, negative,110
temporal, state of being, neutral,100
largesse, state of being, positive,120
libertine, state of being, negative,140
modish, state of being, neutral,100
aver, an act, neutral,100
incontrovertible, state of being, positive,110
itinerant, state of being, neutral,100
magnanimous, state of being, positive,150
arresting, an act, positive,140
fervent, state of being, positive,160
foment, act, negative,140
heterodox, state of being, neutral,90
histrionic, state of being, negative,130
inviolate, state of being, positive,120
obstinate, state of being, negative,120
