painstaking, act, positive,110
phlegmatic, state of being, neutral,100
stinting, act, negative,170
vivacious, state of being, positive,160
convalescent, state of being, positive,130
languid, state of being, negative,140
mollify, act, positive,160
neutralize, act, neutral,120
precipitous, state of being, negative,130
pretentious, state of being, negative,160
mercurial, state of being, neutral,100
plaintive, state of being, negative,110
quiescent, state of being, neutral,100
subsume, act, neutral,70
surmount, act, positive,150
auspicious, state of being, positive,170
bereft, state of being, negative,180
captious, state of being, negative,120
pomposity, state of being, negative,160
ardent, state of being, positive,160
