inchoate, state of being,neutral,100
quash, an act,negative,90
redoubtable, state of being,positive,120
retiring, state of being,neutral,100
sophistry, an act,negative,90
abscond, an act, negative,110
apogee, a state of being, neutral,90
aspersion, an act, negative,100
chagrin, a state of being, negative,130
commiserate, an act, positive,110
contretemps, an act, negative,120
detente, a state of being, positive,120
dowdy, a state of being, negative,100
echelon, a state of being, neutral,110
ennui, a state of being, negative,100
expatiate, an act, neutral,100
fraught, a state of being, negative,110
imbroglio, an act, negative,100
jocund, a state of being, positive,110
nadir, a state of being, negative,130
